hour,updated_type,updated_subtype,latitude_bin,longitude_bin,alert_count
0:00,Accident,Unclassified,41.7,-87.59,1
0:00,Accident,Unclassified,41.71,-87.66,3
0:00,Accident,Unclassified,41.71,-87.65,1
0:00,Accident,Unclassified,41.71,-87.64,1
0:00,Accident,Unclassified,41.71,-87.62,4
0:00,Accident,Unclassified,41.71,-87.61,1
0:00,Accident,Unclassified,41.71,-87.6,2
0:00,Accident,Unclassified,41.71,-87.59,4
0:00,Accident,Unclassified,41.71,-87.58,2
0:00,Accident,Unclassified,41.71,-87.56,1
0:00,Accident,Unclassified,41.72,-87.64,1
0:00,Accident,Unclassified,41.72,-87.63,1
0:00,Accident,Unclassified,41.72,-87.62,9
0:00,Accident,Unclassified,41.72,-87.61,1
0:00,Accident,Unclassified,41.72,-87.59,2
0:00,Accident,Unclassified,41.72,-87.58,3
0:00,Accident,Unclassified,41.72,-87.57,1
0:00,Accident,Unclassified,41.73,-87.62,11
0:00,Accident,Unclassified,41.73,-87.57,1
0:00,Accident,Unclassified,41.74,-87.74,1
0:00,Accident,Unclassified,41.74,-87.72,3
0:00,Accident,Unclassified,41.74,-87.68,1
0:00,Accident,Unclassified,41.74,-87.65,2
0:00,Accident,Unclassified,41.74,-87.63,5
0:00,Accident,Unclassified,41.74,-87.62,1
0:00,Accident,Unclassified,41.74,-87.61,1
0:00,Accident,Unclassified,41.74,-87.59,1
0:00,Accident,Unclassified,41.75,-87.74,2
0:00,Accident,Unclassified,41.75,-87.73,2
0:00,Accident,Unclassified,41.75,-87.63,3
0:00,Accident,Unclassified,41.75,-87.62,1
0:00,Accident,Unclassified,41.75,-87.59,1
0:00,Accident,Unclassified,41.76,-87.72,1
0:00,Accident,Unclassified,41.76,-87.63,17
0:00,Accident,Unclassified,41.76,-87.61,1
0:00,Accident,Unclassified,41.76,-87.6,1
0:00,Accident,Unclassified,41.76,-87.59,3
0:00,Accident,Unclassified,41.76,-87.57,1
0:00,Accident,Unclassified,41.77,-87.69,1
0:00,Accident,Unclassified,41.77,-87.67,1
0:00,Accident,Unclassified,41.77,-87.66,4
0:00,Accident,Unclassified,41.77,-87.63,8
0:00,Accident,Unclassified,41.77,-87.62,2
0:00,Accident,Unclassified,41.77,-87.6,1
0:00,Accident,Unclassified,41.77,-87.59,1
0:00,Accident,Unclassified,41.77,-87.58,2
0:00,Accident,Unclassified,41.77,-87.56,1
0:00,Accident,Unclassified,41.78,-87.74,4
0:00,Accident,Unclassified,41.78,-87.72,1
0:00,Accident,Unclassified,41.78,-87.7,1
0:00,Accident,Unclassified,41.78,-87.69,1
0:00,Accident,Unclassified,41.78,-87.68,2
0:00,Accident,Unclassified,41.78,-87.66,1
0:00,Accident,Unclassified,41.78,-87.64,1
0:00,Accident,Unclassified,41.78,-87.63,12
0:00,Accident,Unclassified,41.78,-87.62,1
0:00,Accident,Unclassified,41.78,-87.59,1
0:00,Accident,Unclassified,41.78,-87.58,2
0:00,Accident,Unclassified,41.78,-87.57,2
0:00,Accident,Unclassified,41.79,-87.8,2
0:00,Accident,Unclassified,41.79,-87.79,1
0:00,Accident,Unclassified,41.79,-87.74,1
0:00,Accident,Unclassified,41.79,-87.7,1
0:00,Accident,Unclassified,41.79,-87.68,2
0:00,Accident,Unclassified,41.79,-87.66,1
0:00,Accident,Unclassified,41.79,-87.65,1
0:00,Accident,Unclassified,41.79,-87.63,8
0:00,Accident,Unclassified,41.79,-87.62,1
0:00,Accident,Unclassified,41.8,-87.8,1
0:00,Accident,Unclassified,41.8,-87.74,1
0:00,Accident,Unclassified,41.8,-87.72,3
0:00,Accident,Unclassified,41.8,-87.7,1
0:00,Accident,Unclassified,41.8,-87.68,1
0:00,Accident,Unclassified,41.8,-87.63,6
0:00,Accident,Unclassified,41.8,-87.61,1
0:00,Accident,Unclassified,41.8,-87.59,1
0:00,Accident,Unclassified,41.81,-87.75,4
0:00,Accident,Unclassified,41.81,-87.74,4
0:00,Accident,Unclassified,41.81,-87.72,1
0:00,Accident,Unclassified,41.81,-87.71,1
0:00,Accident,Unclassified,41.81,-87.7,2
0:00,Accident,Unclassified,41.81,-87.68,1
0:00,Accident,Unclassified,41.81,-87.67,3
0:00,Accident,Unclassified,41.81,-87.63,9
0:00,Accident,Unclassified,41.81,-87.61,1
0:00,Accident,Unclassified,41.81,-87.6,2
0:00,Accident,Unclassified,41.81,-87.59,3
0:00,Accident,Unclassified,41.81,-87.58,1
0:00,Accident,Unclassified,41.82,-87.74,7
0:00,Accident,Unclassified,41.82,-87.73,8
0:00,Accident,Unclassified,41.82,-87.72,7
0:00,Accident,Unclassified,41.82,-87.69,1
0:00,Accident,Unclassified,41.82,-87.68,3
0:00,Accident,Unclassified,41.82,-87.63,5
0:00,Accident,Unclassified,41.82,-87.61,1
0:00,Accident,Unclassified,41.82,-87.6,1
0:00,Accident,Unclassified,41.83,-87.72,1
0:00,Accident,Unclassified,41.83,-87.71,3
0:00,Accident,Unclassified,41.83,-87.7,1
0:00,Accident,Unclassified,41.83,-87.69,3
0:00,Accident,Unclassified,41.83,-87.68,1
0:00,Accident,Unclassified,41.83,-87.63,11
0:00,Accident,Unclassified,41.83,-87.62,1
0:00,Accident,Unclassified,41.83,-87.61,2
0:00,Accident,Unclassified,41.83,-87.6,1
0:00,Accident,Unclassified,41.84,-87.74,1
0:00,Accident,Unclassified,41.84,-87.7,1
0:00,Accident,Unclassified,41.84,-87.69,3
0:00,Accident,Unclassified,41.84,-87.68,3
0:00,Accident,Unclassified,41.84,-87.67,2
0:00,Accident,Unclassified,41.84,-87.66,7
0:00,Accident,Unclassified,41.84,-87.65,3
0:00,Accident,Unclassified,41.84,-87.63,10
0:00,Accident,Unclassified,41.84,-87.62,1
0:00,Accident,Unclassified,41.85,-87.73,1
0:00,Accident,Unclassified,41.85,-87.69,2
0:00,Accident,Unclassified,41.85,-87.66,1
0:00,Accident,Unclassified,41.85,-87.65,7
0:00,Accident,Unclassified,41.85,-87.64,17
0:00,Accident,Unclassified,41.85,-87.63,8
0:00,Accident,Unclassified,41.85,-87.62,6
0:00,Accident,Unclassified,41.85,-87.61,9
0:00,Accident,Unclassified,41.86,-87.71,1
0:00,Accident,Unclassified,41.86,-87.69,2
0:00,Accident,Unclassified,41.86,-87.66,1
0:00,Accident,Unclassified,41.86,-87.65,1
0:00,Accident,Unclassified,41.86,-87.64,21
0:00,Accident,Unclassified,41.86,-87.63,2
0:00,Accident,Unclassified,41.86,-87.62,9
0:00,Accident,Unclassified,41.87,-87.78,3
0:00,Accident,Unclassified,41.87,-87.77,7
0:00,Accident,Unclassified,41.87,-87.76,7
0:00,Accident,Unclassified,41.87,-87.75,4
0:00,Accident,Unclassified,41.87,-87.74,6
0:00,Accident,Unclassified,41.87,-87.73,6
0:00,Accident,Unclassified,41.87,-87.72,4
0:00,Accident,Unclassified,41.87,-87.71,4
0:00,Accident,Unclassified,41.87,-87.7,2
0:00,Accident,Unclassified,41.87,-87.69,1
0:00,Accident,Unclassified,41.87,-87.67,1
0:00,Accident,Unclassified,41.87,-87.66,1
0:00,Accident,Unclassified,41.87,-87.65,5
0:00,Accident,Unclassified,41.87,-87.64,20
0:00,Accident,Unclassified,41.87,-87.63,2
0:00,Accident,Unclassified,41.87,-87.62,10
0:00,Accident,Unclassified,41.88,-87.76,2
0:00,Accident,Unclassified,41.88,-87.75,3
0:00,Accident,Unclassified,41.88,-87.73,1
0:00,Accident,Unclassified,41.88,-87.72,2
0:00,Accident,Unclassified,41.88,-87.71,1
0:00,Accident,Unclassified,41.88,-87.7,4
0:00,Accident,Unclassified,41.88,-87.69,1
0:00,Accident,Unclassified,41.88,-87.68,7
0:00,Accident,Unclassified,41.88,-87.67,3
0:00,Accident,Unclassified,41.88,-87.66,7
0:00,Accident,Unclassified,41.88,-87.65,24
0:00,Accident,Unclassified,41.88,-87.64,2
0:00,Accident,Unclassified,41.88,-87.63,3
0:00,Accident,Unclassified,41.88,-87.62,9
0:00,Accident,Unclassified,41.89,-87.77,1
